,pval_outlier
ZNF19_+_71518478.23-P1P2-1,1.0
ZNF19_+_71518478.23-P1P2-2,1.0
ZNF19_-_71518470.23-P1P2-1,1.0
ZNF19_-_71518470.23-P1P2-2,1.0
ZNF19_-_71518496.23-P1P2-1,1.0
ZNF19_-_71518496.23-P1P2-2,1.0
NR5A1_-_127269627.23-P1P2-1,1.0
NR5A1_-_127269627.23-P1P2-2,0.367
NR5A1_-_127269656.23-P1P2-1,0.2771
NR5A1_-_127269656.23-P1P2-2,1.0
NR5A1_-_127269660.23-P1P2-1,0.2771
NR5A1_-_127269660.23-P1P2-2,1.0
E2F8_+_19262912.23-P1P2-1,1.0
E2F8_+_19262912.23-P1P2-2,1.0
E2F8_+_19263092.23-P1P2-1,0.0548
E2F8_+_19263092.23-P1P2-2,1.0
E2F8_-_19262772.23-P1P2-1,0.0889
E2F8_-_19262772.23-P1P2-2,0.1366
HOXB6_+_46675533.23-P2-1,0.9731
HOXB6_+_46675533.23-P2-2,0.9531
HOXB6_+_46675544.23-P2-1,0.7476
HOXB6_+_46675544.23-P2-2,0.9984
HOXB6_-_46675345.23-P2-1,0.9984
HOXB6_-_46675345.23-P2-2,1.0
GCM1_+_53013522.23-P1P2-2,1.0
GCM1_+_53013527.23-P1P2-1,1.0
GCM1_+_53013527.23-P1P2-2,1.0
GCM1_-_53013607.23-P1P2-1,1.0
GCM1_-_53013607.23-P1P2-2,1.0
TWIST2_+_239756707.23-P1P2-1,1.0
TWIST2_+_239756707.23-P1P2-2,1.0
TWIST2_+_239756884.23-P1P2-1,1.0
TWIST2_+_239756884.23-P1P2-2,1.0
TWIST2_-_239756927.23-P1P2-1,1.0
TWIST2_-_239756927.23-P1P2-2,1.0
BARX1_+_96717617.23-P1P2-1,0.5
BARX1_-_96717530.23-P1P2-2,1.0
BARX1_-_96717533.23-P1P2-2,1.0
OLIG2_+_34398282.23-P1P2-1,1.0
OLIG2_+_34398282.23-P1P2-2,0.8209
OLIG2_-_34398279.23-P1P2-1,0.0091
OLIG2_-_34398279.23-P1P2-2,1.0
OLIG2_-_34398299.23-P1P2-1,0.9854
OLIG2_-_34398299.23-P1P2-2,0.9993
PGBD1_+_28249546.23-P1P2-1,1.0
PGBD1_+_28249546.23-P1P2-2,0.8209
PGBD1_-_28249405.23-P1P2-1,1.0
PGBD1_-_28249405.23-P1P2-2,0.9964
PGBD1_-_28249441.23-P1P2-1,0.4649
PGBD1_-_28249441.23-P1P2-2,0.8209
HAND1_+_153857732.23-P1P2-1,0.9912
HAND1_+_153857732.23-P1P2-2,0.5
HAND1_+_153857742.23-P1P2-1,0.9979
HAND1_-_153857359.23-P1P2-1,0.9707
HAND1_-_153857359.23-P1P2-2,0.8266
ISL1_+_50682000.23-P2-1,0.9999
ISL1_+_50682071.23-P2-1,0.0293
ISL1_+_50682071.23-P2-2,0.9214
ISL1_-_50682080.23-P2-1,0.9214
ISL1_-_50682080.23-P2-2,0.6808
ZNF407_-_72343011.23-ENST00000299687.5-1,1.0
ZNF407_-_72343011.23-ENST00000299687.5-2,1.0
ZNF407_-_72343215.23-ENST00000299687.5-1,1.0
ZNF407_-_72343215.23-ENST00000299687.5-2,1.0
ZNF407_-_72343345.23-ENST00000299687.5-1,1.0
ZNF407_-_72343345.23-ENST00000299687.5-2,1.0
ELK1_+_47509969.23-P1P2-1,0.9366
ELK1_+_47509969.23-P1P2-2,0.0969
ELK1_-_47509921.23-P1P2-2,0.9948
ELK1_-_47510006.23-P1P2-2,0.7186
CIR1_+_175260410.23-P1P2-1,1.0
CIR1_-_175260377.23-P1P2-2,1.0
PRDM4_+_108154848.23-P1P2-1,0.9996
PRDM4_+_108154848.23-P1P2-2,1.0
PRDM4_-_108154509.23-P1P2-2,0.5
PRDM4_-_108154652.23-P1P2-1,0.3192
PRDM4_-_108154652.23-P1P2-2,0.8266
ZNF692_+_249153252.23-P1P2-1,1.0
ZNF692_+_249153252.23-P1P2-2,1.0
ZNF692_-_249153259.23-P1P2-1,1.0
ZNF692_-_249153259.23-P1P2-2,1.0
ZNF692_-_249153265.23-P1P2-1,1.0
ZNF692_-_249153265.23-P1P2-2,1.0
ZNF468_-_53360488.23-P1P2-2,1.0
ZNF468_-_53360493.23-P1P2-1,1.0
ZNF468_-_53360493.23-P1P2-2,1.0
ZNF468_-_53360616.23-P1P2-1,1.0
ZNF468_-_53360616.23-P1P2-2,1.0
ANKZF1_+_220094583.23-P1P2-1,1.0
ANKZF1_+_220094583.23-P1P2-2,1.0
ANKZF1_+_220094599.23-P1P2-1,1.0
ANKZF1_+_220094599.23-P1P2-2,1.0
ANKZF1_+_220094610.23-P1P2-1,1.0
ANKZF1_+_220094610.23-P1P2-2,1.0
ZNF283_+_44331558.23-P1P2-1,1.0
ZNF283_+_44331558.23-P1P2-2,0.9964
ZNF283_+_44331571.23-P1P2-1,0.8209
ZNF283_+_44331571.23-P1P2-2,1.0
ZNF283_-_44331556.23-P1P2-1,0.661
ZNF283_-_44331556.23-P1P2-2,0.9926
"MYRFL_+_70320492.23-ENST00000299350.4,ENST00000548892.1-1",1.0
"MYRFL_+_70320492.23-ENST00000299350.4,ENST00000548892.1-2",0.9926
"MYRFL_+_70320614.23-ENST00000299350.4,ENST00000548892.1-1",0.5649
"MYRFL_+_70320614.23-ENST00000299350.4,ENST00000548892.1-2",1.0
"MYRFL_-_70320481.23-ENST00000299350.4,ENST00000548892.1-1",0.7476
"MYRFL_-_70320481.23-ENST00000299350.4,ENST00000548892.1-2",0.7476
SOX5_+_24102585.23-ENST00000309359.1-2,1.0
SOX5_+_24102757.23-ENST00000309359.1-1,1.0
SOX5_+_24102757.23-ENST00000309359.1-2,1.0
SOX5_-_24102523.23-ENST00000309359.1-1,1.0
SOX5_-_24102523.23-ENST00000309359.1-2,1.0
ZNF805_+_57752114.23-P1P2-2,1.0
ZNF805_-_57752080.23-P1P2-1,0.3192
ZNF805_-_57752080.23-P1P2-2,0.9707
ZNF805_-_57752187.23-P1P2-1,0.0293
ZNF805_-_57752187.23-P1P2-2,0.9996
OR6C1-1,1.0
OR6C1-2,1.0
OR6C1-3,1.0
OR6C1-4,1.0
OR6C1-5,1.0
OR6C1-6,1.0
SP9_-_175199678.23-P1P2-1,1.0
SP9_-_175199678.23-P1P2-2,1.0
SP9_-_175199714.23-P1P2-1,1.0
SP9_-_175199714.23-P1P2-2,1.0
SP9_-_175199907.23-P1P2-1,1.0
SP9_-_175199907.23-P1P2-2,1.0
OR8G5-1,1.0
OR8G5-2,1.0
OR8G5-3,1.0
OR8G5-4,1.0
OR8G5-5,1.0
OR8G5-6,1.0
MYB_+_135502547.23-P1P2-1,1.0
MYB_+_135502547.23-P1P2-2,0.2771
MYB_+_135502602.23-P1P2-1,0.4649
MYB_+_135502602.23-P1P2-2,0.9999
MYB_-_135502668.23-P1P2-1,1.0
MYB_-_135502668.23-P1P2-2,0.5649
ZMAT2_+_140083724.23-P2-1,1.0
ZMAT2_+_140083724.23-P2-2,1.0
ZMAT2_-_140083536.23-P2-1,1.0
ZMAT2_-_140083536.23-P2-2,1.0
ZMAT2_-_140083589.23-P2-1,1.0
ZMAT2_-_140083589.23-P2-2,1.0
CREB5_+_28452316.23-ENST00000357727.2-1,1.0
CREB5_+_28452316.23-ENST00000357727.2-2,1.0
CREB5_-_28452134.23-ENST00000357727.2-1,1.0
CREB5_-_28452134.23-ENST00000357727.2-2,1.0
CREB5_-_28452323.23-ENST00000357727.2-1,1.0
FOXA2_-_22564864.23-P1P2-1,1.0
FOXA2_-_22564864.23-P1P2-2,1.0
FOXA2_-_22565229.23-P1P2-1,1.0
FOXA2_-_22565229.23-P1P2-2,1.0
FOXA2_-_22565395.23-P1P2-1,1.0
FOXA2_-_22565395.23-P1P2-2,1.0
RFXAP_+_37393378.23-P1P2-1,1.0
RFXAP_+_37393378.23-P1P2-2,1.0
RFXAP_+_37393391.23-P1P2-1,1.0
RFXAP_+_37393391.23-P1P2-2,1.0
RFXAP_+_37393433.23-P1P2-1,1.0
RFXAP_+_37393433.23-P1P2-2,1.0
HBP1_-_106809460.23-P1P2-1,1.0
HBP1_-_106809460.23-P1P2-2,1.0
HBP1_-_106809480.23-P1P2-1,1.0
HBP1_-_106809480.23-P1P2-2,1.0
HBP1_-_106809490.23-P1P2-1,1.0
HBP1_-_106809490.23-P1P2-2,1.0
ZNF479_+_57199799.23-P1P2-1,1.0
ZNF479_+_57199799.23-P1P2-2,0.367
ZNF479_-_57199888.23-P1P2-1,0.8209
ZNF479_-_57199888.23-P1P2-2,0.7476
ZNF479_-_57199894.23-P1P2-1,0.8792
ZNF479_-_57199894.23-P1P2-2,1.0
ZFHX4_+_77593654.23-P1P2-1,1.0
ZFHX4_-_77593630.23-P1P2-1,1.0
ZFHX4_-_77593630.23-P1P2-2,1.0
ZFHX4_-_77593834.23-P1P2-1,1.0
ZFHX4_-_77593834.23-P1P2-2,1.0
ZNF730_+_23299843.23-P1P2-1,0.9227
ZNF730_+_23299843.23-P1P2-2,1.0
ZNF730_+_23299846.23-P1P2-1,0.9999
ZNF730_+_23299846.23-P1P2-2,0.9227
ZNF730_+_23299854.23-P1P2-1,0.9227
ZNF730_+_23299854.23-P1P2-2,0.9984
ZNF436_-_23696053.23-P2-1,1.0
ZNF436_-_23696053.23-P2-2,1.0
ZNF436_-_23696122.23-P2-1,1.0
ZNF436_-_23696122.23-P2-2,1.0
ZNF436_-_23696253.23-P2-1,1.0
ZNF436_-_23696253.23-P2-2,1.0
ZEB1_+_31610416.23-P2-1,1.0
ZEB1_+_31610416.23-P2-2,1.0
ZEB1_+_31610432.23-P2-1,1.0
ZEB1_+_31610432.23-P2-2,1.0
ZEB1_-_31610356.23-P2-1,1.0
ZEB1_-_31610356.23-P2-2,1.0
UBTF_-_42295646.23-P1P2-1,1.0
UBTF_-_42295646.23-P1P2-2,1.0
UBTF_-_42298228.23-P1P2-1,1.0
UBTF_-_42298228.23-P1P2-2,1.0
UBTF_-_42298236.23-P1P2-1,1.0
UBTF_-_42298236.23-P1P2-2,1.0
MTERF_+_91509795.23-P1P2-1,1.0
MTERF_+_91509795.23-P1P2-2,1.0
MTERF_+_91509981.23-P1P2-1,1.0
MTERF_+_91509981.23-P1P2-2,0.367
MTERF_+_91510008.23-P1P2-1,0.8209
MTERF_+_91510008.23-P1P2-2,0.367
CREB3L4_+_153940378.23-P1P2-1,1.0
CREB3L4_+_153940378.23-P1P2-2,1.0
CREB3L4_+_153940391.23-P1P2-1,1.0
CREB3L4_+_153940391.23-P1P2-2,1.0
CREB3L4_-_153940424.23-P1P2-1,1.0
CREB3L4_-_153940424.23-P1P2-2,1.0
ZNF705D_+_11961932.23-ENST00000400085.3-1,1.0
ZNF705D_+_11962138.23-ENST00000400085.3-2,1.0
ZNF705D_-_11961942.23-ENST00000400085.3-1,1.0
DUXA_+_57678718.23-ENST00000554048.2-1,1.0
DUXA_+_57678718.23-ENST00000554048.2-2,1.0
DUXA_+_57678751.23-ENST00000554048.2-1,1.0
DUXA_+_57678751.23-ENST00000554048.2-2,1.0
DUXA_-_57678725.23-ENST00000554048.2-1,1.0
DUXA_-_57678725.23-ENST00000554048.2-2,1.0
MMP3_+_102714331.23-P1P2-1,0.9531
MMP3_+_102714331.23-P1P2-2,0.8209
MMP3_-_102714259.23-P1P2-1,0.7476
MMP3_-_102714259.23-P1P2-2,1.0
MMP3_-_102714285.23-P1P2-1,1.0
MMP3_-_102714285.23-P1P2-2,0.661
IKZF1_+_50344364.23-P1P2-1,0.6808
IKZF1_+_50344364.23-P1P2-2,0.9707
IKZF1_-_50344370.23-P1P2-1,0.9912
IKZF1_-_50344370.23-P1P2-2,0.9912
IKZF1_-_50344397.23-P1P2-1,0.5
ZFP41_+_144329170.23-P1P2-1,0.9227
ZFP41_+_144329170.23-P1P2-2,0.9227
ZFP41_-_144329137.23-P1P2-1,0.9984
ZFP41_-_144329137.23-P1P2-2,1.0
ZFP41_-_144329150.23-P1P2-1,1.0
ZFP41_-_144329150.23-P1P2-2,0.1366
BCL6B_-_6926363.23-P1P2-1,1.0
BCL6B_-_6926363.23-P1P2-2,1.0
BCL6B_-_6926401.23-P1P2-1,1.0
BCL6B_-_6926401.23-P1P2-2,1.0
BCL6B_-_6926629.23-P1P2-1,1.0
BCL6B_-_6926629.23-P1P2-2,1.0
ZNF516_+_74206733.23-P1P2-1,0.0786
ZNF516_+_74206733.23-P1P2-2,0.9999
ZNF516_+_74207092.23-P1P2-1,0.0786
ZNF516_-_74207157.23-P1P2-1,0.9996
ZNF516_-_74207157.23-P1P2-2,0.9707
ZNF423_+_49860864.23-ENST00000262383.2-1,0.9997
ZNF423_+_49860864.23-ENST00000262383.2-2,0.9997
ZNF423_-_49860880.23-ENST00000262383.2-1,0.9964
