,index,x,y,cluster
124,IRF4:P1,94.420815,-41.18391,23
125,IRF6:P1P2,-22.114414,-66.16535,31
126,IRX2:P1P2,53.40442,-66.65576,25
127,ISL1:P1,-27.954208,142.09082,19
128,JDP2:P1P2,65.39611,-41.840946,31
129,JUN:P1P2,-2.2963831,-73.69574,31
130,JUND:P1P2,93.099106,-43.48172,52
131,KAT7:P1P2,20.47819,-107.70078,49
132,KDM2B:ENST00000377069.4,-53.924206,42.187683,47
133,KDM5B:P1P2,-24.892488,130.5105,7
134,KDM5C:P1P2,57.21391,-42.35989,31
135,KLF10:P1,106.768135,-25.99564,53
136,KLF12:P1P2,-34.656055,91.92027,0
137,KLF4:P1,-49.92973,-11.666209,31
138,KMT2A:P1P2,-88.72169,15.726026,20
139,KMT2B:P1,-31.960987,13.3899765,47
140,L3MBTL1:P2,48.280964,-7.639215,53
141,L3MBTL3:P1P2,-45.25852,78.439705,4
142,LBX2:P1P2,58.49516,28.149818,23
143,LEF1:P2,-20.207579,-62.39948,31
144,LHX2:P1P2,-36.310936,-105.9887,27
145,LIN28A:P1P2,-29.949911,88.91678,0
146,LRRFIP1:P1P2,61.012676,14.622247,53
147,LZTR1:P1P2,29.85402,-105.063255,5
148,LZTS1:P1P2,62.93809,-41.89603,31
149,MAFA:P1P2,50.398087,-69.594666,25
150,MAFB:P1P2,-30.348858,91.14831,0
151,MAP3K7:P1P2,-45.701923,-9.6917925,47
152,MAPK8IP1:P2,22.119978,-57.34939,52
153,MBD1:P1P2,80.60007,-18.045599,23
154,MBD6:P1P2,-47.9461,77.847305,4
155,"MBNL3:ENST00000370839.3,ENST00000370853.3",-79.22898,11.76688,47
156,MEF2A:P1P2,-23.069736,152.06268,21
157,MEF2C:P1P2,-25.219006,152.01508,21
158,MEF2D:P1P2,-54.621635,124.06012,0
159,MEIS1:P1P2,-40.095013,-108.788635,46
160,MEIS3:P1,-9.44994,-33.89432,25
161,MGA:P1P2,-6.3244205,44.361217,53
162,MIER1:P2,17.560736,100.053535,51
163,MIER3:P1P2,-3.8794444,-98.92377,5
164,MIXL1:P1P2,-79.92031,112.70413,22
165,MLLT10:P1P2,-47.528244,-40.0726,50
166,MLLT1:P1P2,-62.178867,64.51784,24
167,MLX:P1P2,-17.05823,-73.98913,31
168,MSANTD4:P1P2,86.52055,-19.810684,23
169,MSX2:P1P2,-11.466534,-2.8933668,24
170,MTERF:P1P2,37.844334,-2.8471217,53
171,MTF1:P1P2,-54.2955,55.608135,51
172,MTF2:P1P2,-55.345764,122.746414,0
173,MXD3:P1P2,44.46746,-24.715122,53
174,MXI1:P1,44.39445,62.526043,23
175,MYCL:P1P2,11.109114,-32.44509,25
176,MYCN:P2,10.946512,-29.853338,25
177,MYOCD:P1P2,-26.22683,124.3046,26
178,MYRF:P2,-34.49437,-106.2205,27
179,"MYRFL:ENST00000299350.4,ENST00000548892.1",-76.97725,6.0428634,47
180,NCL:P2,-22.999964,128.17738,7
