,gRNA_name,status
113,BHLHA15_+_97840796.23-P1P2-1,annotation_only
114,BHLHA9_-_1173797.23-P1P2-1,annotation_only
115,BHLHE23_+_61638282.23-P1P2-1,annotation_only
116,BHLHE41_-_26277786.23-P1P2-2,annotation_only
117,BHLHE41_-_26277796.23-P1P2-1,annotation_only
118,BID_+_18257195.23-P1P2-2,annotation_only
119,BID_+_18257228.23-P1P2-2,annotation_only
120,BLZF1_-_169337463.23-P1P2-2,annotation_only
121,BMP2_+_6748354.23-P1-2,annotation_only
122,BMP2_+_6748412.23-P1-2,annotation_only
123,BNC1_+_83953391.23-P1P2-2,annotation_only
124,BNC2_-_16870477.23-P1P2-2,annotation_only
125,BOLA1_+_149858510.23-P1-2,annotation_only
126,BOLA1_+_149858859.23-P1-2,annotation_only
127,BPTF_+_65821601.23-P1P2-1,annotation_only
128,BPTF_-_65821667.23-P1P2-2,annotation_only
129,BRF2_+_37707146.23-P1P2-1,annotation_only
130,BRF2_-_37707367.23-P1P2-1,annotation_only
131,BRF2_-_37707367.23-P1P2-2,annotation_only
132,BRIP1_+_59940824.23-P1P2-1,annotation_only
133,BRIP1_+_59940824.23-P1P2-2,annotation_only
134,BRIP1_-_59940469.23-P1P2-1,annotation_only
135,BRIP1_-_59940469.23-P1P2-2,annotation_only
136,BRIP1_-_59940486.23-P1P2-1,annotation_only
137,BRIP1_-_59940486.23-P1P2-2,annotation_only
138,BRPF1_+_9773468.23-P1P2-1,annotation_only
139,BRPF1_+_9773468.23-P1P2-2,annotation_only
140,BRPF1_+_9773474.23-P1P2-1,annotation_only
141,BRPF1_-_9773923.23-P1P2-2,annotation_only
142,C11orf95_-_63536209.23-P1P2-1,annotation_only
143,C11orf95_-_63536213.23-P1P2-1,annotation_only
144,C11orf95_-_63536229.23-P1P2-1,annotation_only
145,C1orf85_+_156265403.23-P1-1,annotation_only
146,CAMTA1_-_6845566.23-P1P2-1,annotation_only
147,CAMTA1_-_6845566.23-P1P2-2,annotation_only
148,CAMTA1_-_6845580.23-P1P2-2,annotation_only
149,CAMTA1_-_6845583.23-P1P2-2,annotation_only
150,CAMTA2_-_4890571.23-P1P2-1,annotation_only
151,CAPN15_-_577719.23-P1P2-2,annotation_only
152,CAPN15_-_577797.23-P1P2-1,annotation_only
153,CAPN15_-_577807.23-P1P2-2,annotation_only
154,CARF_+_203776818.23-P1P2-2,annotation_only
155,CARF_-_203776953.23-P1P2-1,annotation_only
156,CARF_-_203776953.23-P1P2-2,annotation_only
157,CARF_-_203777023.23-P1P2-2,annotation_only
158,CASZ1_+_10856433.23-ENST00000377022.3-1,annotation_only
159,CASZ1_+_10856433.23-ENST00000377022.3-2,annotation_only
160,CBFA2T2_-_32077951.23-P1P2-1,annotation_only
161,CBFA2T2_-_32077951.23-P1P2-2,annotation_only
162,CBFA2T2_-_32077954.23-P1P2-1,annotation_only
163,CBFA2T2_-_32077954.23-P1P2-2,annotation_only
164,CBFA2T2_-_32077984.23-P1P2-2,annotation_only
165,CBFA2T3_+_89007710.23-P1-1,annotation_only
166,CBFA2T3_+_89007710.23-P1-2,annotation_only
167,CBFA2T3_+_89007744.23-P1-1,annotation_only
168,CBFA2T3_+_89007744.23-P1-2,annotation_only
169,CBFA2T3_-_89007724.23-P1-1,annotation_only
170,CBFB_+_67063534.23-P1P2-2,annotation_only
171,CBFB_-_67063086.23-P1P2-1,annotation_only
172,CBFB_-_67063086.23-P1P2-2,annotation_only
173,CBFB_-_67063256.23-P1P2-1,annotation_only
174,CBFB_-_67063256.23-P1P2-2,annotation_only
175,CBL_+_119077067.23-P1P2-2,annotation_only
176,CBL_-_119077410.23-P1P2-1,annotation_only
177,CBL_-_119077410.23-P1P2-2,annotation_only
178,CBX2_+_77751982.23-P1P2-1,annotation_only
179,CBX2_-_77752000.23-P1P2-1,annotation_only
180,CBX2_-_77752000.23-P1P2-2,annotation_only
181,CCDC17_-_46089559.23-P1P2-1,annotation_only
182,CDC5L_+_44355494.23-P1P2-1,annotation_only
183,CDC5L_+_44355494.23-P1P2-2,annotation_only
184,CDC5L_-_44355316.23-P1P2-1,annotation_only
185,CDC5L_-_44355316.23-P1P2-2,annotation_only
186,CDC5L_-_44355475.23-P1P2-1,annotation_only
187,CDC5L_-_44355475.23-P1P2-2,annotation_only
188,CDIP1_+_4588461.23-P1P2-1,annotation_only
189,CDK1_-_62538284.23-P1P2-1,annotation_only
190,CDK1_-_62538284.23-P1P2-2,annotation_only
191,CDK1_-_62538382.23-P1P2-1,annotation_only
192,CDK1_-_62538382.23-P1P2-2,annotation_only
193,CDK1_-_62538742.23-P1P2-1,annotation_only
194,CDK7_+_68530767.23-P1P2-1,annotation_only
195,CDK7_+_68530767.23-P1P2-2,annotation_only
196,CDK7_+_68530926.23-P1P2-1,annotation_only
197,CDK7_+_68530926.23-P1P2-2,annotation_only
198,CDK7_-_68530891.23-P1P2-1,annotation_only
199,CDK7_-_68530891.23-P1P2-2,annotation_only
