,cell_count,type,distance_0,pval_0,distance_1,pval_1,distance_2,pval_2,distance_3,pval_3,distance_4,pval_4,distance_5,pval_5,distance_6,pval_6,distance_7,pval_7,distance_8,pval_8,distance_9,pval_9,distance_10,pval_10,distance_11,pval_11,distance_12,pval_12,distance_13,pval_13,distance_14,pval_14,distance_15,pval_15,distance_16,pval_16,distance_17,pval_17,distance_18,pval_18,distance_19,pval_19,distance_mean,pval_mean,pval_mean_log,distance_mean_log
HOXB4:P1P2,452,targeting,75.57244873046875,0.0,78.24835205078125,0.0,78.17352294921875,0.0,74.01898193359375,0.0,80.90557861328125,0.0,74.02899169921875,0.0,71.32537841796875,0.0,74.32806396484375,0.0,78.35894775390625,0.0,81.28472900390625,0.0,74.12286376953125,0.0,78.91851806640625,0.0,68.44940185546875,0.0,71.71563720703125,0.0,88.74786376953125,0.0,73.90350341796875,0.0,67.00482177734375,0.0,79.70098876953125,0.0,72.80023193359375,0.0,70.00994873046875,0.0,75.58093872070313,0.0,5.0,1.878412281583241
ESRRG:ENST00000360012.3,650,targeting,4.126708984375,0.058,4.3551025390625,0.062,3.3583984375,0.143,3.911376953125,0.073,4.0628662109375,0.069,3.92431640625,0.083,2.725341796875,0.244,3.919189453125,0.084,3.5074462890625,0.102,4.2449951171875,0.051,4.553466796875,0.037,3.9969482421875,0.066,3.237060546875,0.144,2.644287109375,0.252,5.33251953125,0.025,2.16357421875,0.447,2.9384765625,0.201,3.182373046875,0.15,3.3837890625,0.14,3.03271484375,0.149,3.630047607421875,0.129,0.8893766247666693,0.5599123207675282
ZNF19:P1P2,659,targeting,3.055419921875,0.192,2.8680419921875,0.269,2.181640625,0.513,3.781494140625,0.105,3.0311279296875,0.177,3.0673828125,0.183,3.49072265625,0.131,4.1357421875,0.07,2.8648681640625,0.229,2.4742431640625,0.374,3.755126953125,0.094,3.5960693359375,0.107,3.224365234375,0.169,2.793701171875,0.237,3.7115478515625,0.096,1.85693359375,0.607,3.51806640625,0.116,2.3756103515625,0.373,3.3837890625,0.161,3.06005859375,0.192,3.111297607421875,0.21975000000000003,0.6580513535874944,0.4929415550107624
NR5A1:P1P2,919,targeting,2.6224365234375,0.157,2.75732421875,0.138,2.8165283203125,0.106,2.80078125,0.116,3.029052734375,0.091,3.1693115234375,0.054,2.4307861328125,0.197,2.9136962890625,0.12,3.070068359375,0.08,3.670654296875,0.035,2.7994384765625,0.114,3.240478515625,0.066,2.6041259765625,0.154,3.0223388671875,0.091,4.688720703125,0.015,2.8018798828125,0.117,2.1231689453125,0.267,3.02099609375,0.09,2.3863525390625,0.228,2.7833251953125,0.121,2.9375732421875,0.11784999999999998,0.9286335632408697,0.4679887036308835
E2F8:P1P2,1077,targeting,2.8272705078125,0.084,2.44677734375,0.145,2.4493408203125,0.129,3.28271484375,0.03,2.640869140625,0.102,3.5306396484375,0.036,3.6806640625,0.023,3.2899169921875,0.042,2.6519775390625,0.091,2.934814453125,0.071,3.6470947265625,0.031,3.3494873046875,0.043,4.0997314453125,0.012,3.1890869140625,0.039,2.2606201171875,0.2,2.3228759765625,0.142,4.5245361328125,0.012,2.1141357421875,0.198,2.689453125,0.11,3.9984130859375,0.011,3.09652099609375,0.07755,1.1103621995933324,0.49087402910798084
HOXB6:P2,918,targeting,6.714111328125,0.002,5.6817626953125,0.005,4.6103515625,0.01,6.360107421875,0.001,4.9788818359375,0.005,6.101806640625,0.002,6.338134765625,0.002,6.575927734375,0.003,4.7713623046875,0.011,4.0899658203125,0.015,6.762451171875,0.002,4.6776123046875,0.011,7.37548828125,0.003,6.51953125,0.001,3.1463623046875,0.087,5.84375,0.004,7.60595703125,0.001,4.8043212890625,0.01,7.2554931640625,0.001,6.719482421875,0.0,5.84664306640625,0.0088,2.0550240915879523,0.7669065812630007
GCM1:P1P2,365,targeting,9.2833251953125,0.013,7.3795166015625,0.051,6.9327392578125,0.072,9.446533203125,0.008,6.6949462890625,0.059,9.501953125,0.013,9.49267578125,0.015,9.513916015625,0.016,8.2584228515625,0.038,7.9959716796875,0.025,8.799560546875,0.021,8.4996337890625,0.025,10.703125,0.008,10.05810546875,0.004,5.5653076171875,0.151,8.978759765625,0.019,11.023193359375,0.005,7.4959716796875,0.028,9.5322265625,0.016,10.981689453125,0.006,8.806878662109375,0.02965000000000001,1.5278288533076367,0.9448220128369873
TWIST2:P1P2,625,targeting,3.05029296875,0.288,2.9237060546875,0.335,3.441162109375,0.205,3.76416015625,0.151,4.1824951171875,0.106,3.691650390625,0.143,3.1533203125,0.247,2.721435546875,0.389,2.9700927734375,0.284,3.5633544921875,0.17,2.594482421875,0.441,3.8289794921875,0.117,2.986572265625,0.264,3.596923828125,0.147,4.4815673828125,0.078,3.323974609375,0.194,2.629150390625,0.393,4.0284423828125,0.095,2.785888671875,0.404,2.731201171875,0.346,3.322442626953125,0.23984999999999995,0.6200421706552993,0.5214574901376282
BARX1:P1P2,853,targeting,1.30859375,0.786,1.3797607421875,0.741,1.103271484375,0.89,1.476806640625,0.658,1.3414306640625,0.759,1.674072265625,0.514,1.313720703125,0.75,1.947021484375,0.378,1.3438720703125,0.745,2.0020751953125,0.365,1.638916015625,0.584,1.8240966796875,0.431,1.58642578125,0.572,1.185546875,0.81,2.5406494140625,0.179,1.0927734375,0.871,1.416748046875,0.671,1.3179931640625,0.746,1.557861328125,0.66,1.620361328125,0.51,1.533599853515625,0.631,0.1999637581720207,0.1857120583876387
OLIG2:P1P2,464,targeting,5.4239501953125,0.06,6.03857421875,0.038,5.5093994140625,0.047,5.7039794921875,0.049,7.090087890625,0.015,4.3695068359375,0.11,4.0494384765625,0.161,4.8143310546875,0.113,5.065673828125,0.07,5.054931640625,0.095,5.6387939453125,0.061,5.40087890625,0.05,3.5340576171875,0.276,4.1724853515625,0.144,7.380615234375,0.025,4.6619873046875,0.094,3.1776123046875,0.326,5.27734375,0.052,4.8089599609375,0.121,3.4481201171875,0.258,5.031036376953125,0.10825,0.9655319772449575,0.7016574575072023
